output,answer,complexity
~((((~(~a))|(~(~b)))|(~(~c)))|(~(d|(1)))),~a&~b&~c,16
~((~(a|(b&~c)))&(~(a|(b&~c&d)))),a|b&~c,16
~(((~(~a))&(~(b&~c)))&(~(d&(0)))),~a|b&~c,14
~((~((~a&b)|(~c&d)))&(~((~a&b)|(~c&~d)))),~a&b|~c,22
~((~(a|~b|c))|((~(~(a|~b|c)))&(~(a|~b|c|d)))),a|~b|c,22
~((~(a|(~b&c)|d))|(~(a|(~b&c)|~d))),a|~b&c,18
~((~(~a&~b&c))|(~((~a&~b&c)|d))),~a&~b&c,17
~((~(a|(~b&~c)))|(~(a|(~b&~c)|d))),a|~b&~c,18
~((~((~a&b)|c))&(~((~a&b)|(c&d)))),~a&b|c,17
~((~((a&b)|~c))&(~((a&b)|(~c&d)))),a&b|~c,17
~((~((~a&~b)|(c&d)))&(~((~a&~b)|(c&~d)))),~a&~b|c,22
~((~(a|~b|~c))&(~(a|~b|(~c&d)))),a|~b|~c,17
~((~(~a|(~b&c)|d))|(~(~a|(~b&c)|~d))),~a|~b&c,20
~((~(~a|~b|(c&d)))&(~(~a|~b|(c&~d)))),~a|~b|c,20
~((~a&(~(b&~c)))&(~(d&(~d|(0))))),a|b&~c,16
~((~a&(~(~b)))&(~(c&(d|(1))))),a|~b|c,13
~((~(a&b&~c&d))&(~(a&b&~c&~d))),a&b&~c,16
~((~((~a&~b)|~c|d))|(~((~a&~b)|~c|~d))),~a&~b|~c,22
~((~(a|~b|~c|d))|(~(a|~b|~c|~d))),a|~b|~c,18
~((~(a&~b&~c))&(~(d&(0)))),a&~b&~c,12
~((~(a|b|c))|(~(d|~d))),a|b|c,11
~(((~(~a&b))&~c)&(~(d&(0)))),~a&b|c,13
~((~(a&b&~c))&(~(d&(0)))),a&b&~c,11
~((~((a&b&~c)|d))|(~((a&b&~c)|~d))),a&b&~c,18
~(((~(~a))&(~(~b)))&(~(c&(d|(1))))),~a|~b|c,14
~((~((~a&b)|~c|d))|(~((~a&b)|~c|~d))),~a&b|~c,20
~((~(a&b&~c))|(~((a&b&~c)|d))),a&b&~c,15
~((~(a|b|c))&(~(a|b|(c&d)))),a|b|c,13
~((~a&(~(~b&~c)))&(~(d&(0)))),a|~b&~c,14
~((~(~a&b))&(~(c&(d|(1))))),~a&b|c,12
((~((~(~a&b&c))&(~(d&(0)))))|(0))|(0),~a&b&c,15
~(((((~(~a))|~b)|~c)|(~(d|(1))))&((((~(~a))|~b)|~c)|(~(d|(1))))),~a&b&c,29
~((~a&~b)&(~(c&(d|(1))))),a|b|c,12
~((~(~a&b&~c))&(~(d&(0)))),~a&b&~c,12
~((~((a&~b)|(~c&d)))&(~((a&~b)|(~c&~d)))),a&~b|~c,22
~(((~(~a&b))&(~(~c)))&(~(d&(0)))),~a&b|~c,14
~((~(a&~b&~c&d))&(~(a&~b&~c&~d))),a&~b&~c,18
