output,answer,complexity
~((~(((a|(~b&c)|(d&(e|(1))))|(a|(~b&c)|(d&(e|(1))&f)))&((a|(~b&c)|(d&(e|(1))))|(a|(~b&c)|(d&(e|(1))&f))|g)&h))&(~(((a|(~b&c)|(d&(e|(1))))|(a|(~b&c)|(d&(e|(1))&f)))&((a|(~b&c)|(d&(e|(1))))|(a|(~b&c)|(d&(e|(1))&f))|g)&~h))),a|~b&c|d,106
~((~((((~a|(b&c&d&e))|(~a|(b&c&d&~e)))|(f&~f))&(g|~g)&h))&(~((((~a|(b&c&d&e))|(~a|(b&c&d&~e)))|(f&~f))&(g|~g)&~h))),~a|b&c&d,62
~((~((((a|b|(c&~d))|(a|b|(c&~d&e))|(f&(0)))&((a|b|(c&~d))|(a|b|(c&~d&e))|(f&(0))|g))|h))|(~((((a|b|(c&~d))|(a|b|(c&~d&e))|(f&(0)))&((a|b|(c&~d))|(a|b|(c&~d&e))|(f&(0))|g))|~h))),a|b|c&~d,88
~((~(((a|(b&c&~d)|e)&(a|(b&c&~d)|~e)&(f|(1)))|((a|(b&c&~d)|e)&(a|(b&c&~d)|~e)&(f|(1))&g)))|(~(((a|(b&c&~d)|e)&(a|(b&c&~d)|~e)&(f|(1)))|((a|(b&c&~d)|e)&(a|(b&c&~d)|~e)&(f|(1))&g)|h))),a|b&c&~d,92
(~((((~(a|(b&~c&~d)))&(~(e&~e)))&((~((f&(0))|(0)))|(0)))&(~((g&(0))&(h|(1))))))&(~((((~(a|(b&~c&~d)))&(~(e&~e)))&((~((f&(0))|(0)))|(0)))&(~((g&(0))&(h|(1)))))),a|b&~c&~d,68
~((~((((((~a&b)|(c&d))&((~a&b)|(c&d)|e))|f)&((((~a&b)|(c&d))&((~a&b)|(c&d)|e))|~f))&((((((~a&b)|(c&d))&((~a&b)|(c&d)|e))|f)&((((~a&b)|(c&d))&((~a&b)|(c&d)|e))|~f))|g)))|(~(((((((~a&b)|(c&d))&((~a&b)|(c&d)|e))|f)&((((~a&b)|(c&d))&((~a&b)|(c&d)|e))|~f))&((((((~a&b)|(c&d))&((~a&b)|(c&d)|e))|f)&((((~a&b)|(c&d))&((~a&b)|(c&d)|e))|~f))|g))|h))),~a&b|c&d,179
~((~((((a|(b&~c&d)|e)&(a|(b&~c&d)|~e))|((f&(0))&g))|((((a|(b&~c&d)|e)&(a|(b&~c&d)|~e))|((f&(0))&~g))&h)))&(~((((a|(b&~c&d)|e)&(a|(b&~c&d)|~e))|((f&(0))&g))|((((a|(b&~c&d)|e)&(a|(b&~c&d)|~e))|((f&(0))&~g))&~h)))),a|b&~c&d,108
~((~(((~a&~b)|(~c&~d&(e|(1))))|((~a&~b)|(~c&~d&(e|(1))&f))|(g&(0))))&(~(((~a&~b)|(~c&~d&(e|(1))))|((~a&~b)|(~c&~d&(e|(1))&f))|((g&(0))&h)))),~a&~b|~c&~d,71
~((~(((((a|~b|(c&~d))&(a|~b|(c&~d)|e))|f)&(((a|~b|(c&~d))&(a|~b|(c&~d)|e))|~f))|((((a|~b|(c&~d))&(a|~b|(c&~d)|e))|f)&(((a|~b|(c&~d))&(a|~b|(c&~d)|e))|~f)&g)))|(~(((((a|~b|(c&~d))&(a|~b|(c&~d)|e))|f)&(((a|~b|(c&~d))&(a|~b|(c&~d)|e))|~f))|((((a|~b|(c&~d))&(a|~b|(c&~d)|e))|f)&(((a|~b|(c&~d))&(a|~b|(c&~d)|e))|~f)&g)|h))),a|~b|c&~d,176
~((~(((((~a&b)|~c|d)&((~a&b)|~c|d|e)&(f|(1)))&((((~a&b)|~c|d)&((~a&b)|~c|d|e)&(f|(1)))|g))|h))|(~(((((~a&b)|~c|d)&((~a&b)|~c|d|e)&(f|(1)))&((((~a&b)|~c|d)&((~a&b)|~c|d|e)&(f|(1)))|g))|~h))),~a&b|~c|d,98
