output,answer,complexity
~((~((~a&b&c)|(~a&b&c&d)))&(~((~a&b&c)|((~a&b&c&d)&e)))),~a&b&c,29
~((~((a&~b)|~c|(d&(0))|e))|(~((a&~b)|~c|(d&(0))|~e))),a&~b|~c,26
~((~(a|(~b&~c)|(d&(0))))&(~(a|(~b&~c)|((d&(0))&e)))),a|~b&~c,25
~((~(((~a&b)|~c)|(d&~d)))|(~(((~a&b)|~c)|(d&~d)|e))),~a&b|~c,28
~((~a&(~(b&~c&(d|(1)))))&(~(e&(0)))),a|b&~c,16
~((~((a|~b|c)|(a|~b|(c&d))|e))|(~((a|~b|c)|(a|~b|(c&d))|~e))),a|~b|c,32
~((~(~a|b|(c&(d|(1))&e)))&(~(~a|b|(c&(d|(1))&~e)))),~a|b|c,24
~((~a&(~(b&c)))&(~((d&(0))&(e|(1))))),a|b&c,16
~((~((a|~b|~c)&(a|~b|~c|d)))|(~(((a|~b|~c)&(a|~b|~c|d))|e))),a|~b|~c,33
~((~((a&b)|(c&(d|(1)))|e))|(~((a&b)|(c&(d|(1)))|~e))),a&b|c,24
~((~((a|~b|~c|d)&(a|~b|~c|~d)))|(~(e|~e))),a|~b|~c,23
~((~((a|(~b&c&d))|(a|(~b&c&~d))|e))|(~((a|(~b&c&d))|(a|(~b&c&~d))|~e))),a|~b&c,38
~((~((~a|(b&c))&(d|~d)))&(~(e&(0)))),~a|b&c,17
~((~(a|(b&~c&(d|(1)))))|(~(a|(b&~c&(d|(1)))|e))),a|b&~c,22
~((~(a|(b&c)|(d&(0))|e))|(~(a|(b&c)|(d&(0))|~e))),a|b&c,22
~((~a&(~(b&~c)))&(~((d&(0))&(e|(1))))),a|b&~c,17
~((~((a&~b&~c)|(d&~d)))&(~((a&~b&~c)|((d&~d)&e)))),a&~b&~c,27
~(((~(~a|(~b&c&d)))&(~(~a|(~b&c&~d))))&(~(e&(0)))),~a|~b&c,25
~((~(~a|(~b&~c&(d|(1)))))&(~(~a|(~b&~c&(d|(1))&e)))),~a|~b&~c,26
~((~((a|(~b&~c)|d)&(a|(~b&~c)|~d)))&(~(e&~e))),a|~b&~c,25
~((~(((~a&b)|~c)|((~a&b)|(~c&d))|e))|(~(((~a&b)|~c)|((~a&b)|(~c&d))|~e))),~a&b|~c,40
~((~(~a|~b|(c&(d|(1)))))|(~(e|~e))),~a|~b|c,17
~(((~((a&b)|~c))&(~((a&b)|(~c&d))))&(~(e&(0)))),a&b|~c,22
~((~((~a|b|c)|(~a|b|(c&d))|e))|(~((~a|b|c)|(~a|b|(c&d))|~e))),~a|b|c,32
~((~(a|(b&c)|(d&(0))))|(~(a|(b&c)|(d&(0))|e))),a|b&c,20
~((~((a&b&c)|(d&~d)))&(~((a&b&c)|((d&~d)&e)))),a&b&c,23
~((~(a|b|~c|((d&(0))&e)))&(~(a|b|~c|((d&(0))&~e)))),a|b|~c,24
~((~(~a))&(~(~b&c&(d|(1))&(e|(1))))),~a|~b&c,15
~(((~((a&~b)|(~c&d)))&(~((a&~b)|(~c&~d))))&(~(e&(0)))),a&~b|~c,27
~((~((a|b|~c)&(d|~d)))&(~((a|b|~c)&(d|~d)&e))),a|b|~c,24
