output,answer,complexity
~(((~(~a&~b&~c&~d))&(~(~a&~b&~c&~d&e)))&(~(f&(0)))),~a&~b&~c&~d,27
~(((~(~a|b|(~c&~d)))&(~(~a|b|(~c&~d&e))))&(~(f&(0)))),~a|b|~c&~d,27
~((~(((~a|~b|~c|~d)&(~a|~b|~c|~d|e))|f))|(~(((~a|~b|~c|~d)&(~a|~b|~c|~d|e))|~f))),~a|~b|~c|~d,48
~((~(a&~b&~c&~d&(e|(1))))&(~(f&~f))),a&~b&~c&~d,18
~((~((a&b)|(c&~d)))&(~(((a&b)|(c&~d&e))&(f|(1))))),a&b|c&~d,24
~((((~(~a&~b))&(~(~c)))&~d)&(~((e&(0))&(f|(1))))),~a&~b|~c|d,22
~(((~((a&b&c)|(~d&e)))&(~((a&b&c)|(~d&~e))))&(~(f&(0)))),a&b&c|~d,27
~((~((~a&~b)|c|d|(e&(0))))&(~(f&~f))),~a&~b|c|d,18
~((~(~a|(~b&~c)|(d&(e|(1)))|f))|(~(~a|(~b&~c)|(d&(e|(1)))|~f))),~a|~b&~c|d,32
~((~(a|~b|(c&d&(e|(1)))))&(~(f&~f))),a|~b|c&d,17
~((~((~a&~b&~c&~d)&((~a&~b&~c&~d)|e)))&(~((~a&~b&~c&~d)&((~a&~b&~c&~d)|e)&f))),~a&~b&~c&~d,46
~((~((a&~b&~c)|d|(e&(0))|f))|(~((a&~b&~c)|d|(e&(0))|~f))),a&~b&~c|d,28
~((~((a&b)|~c|~d|(e&(0))))|(~((a&b)|~c|~d|(e&(0))|f))),a&b|~c|~d,26
~((~(a|b|~c|~d))&(~((e&~e)&(f|(1))))),a|b|~c|~d,18
~((~((~a|~b|(~c&d))|(~a|~b|(~c&d&e))|f))|(~((~a|~b|(~c&d))|(~a|~b|(~c&d&e))|~f))),~a|~b|~c&d,46
~((~(((a&~b)|(c&d)|e)&((a&~b)|(c&d)|~e)))&(~(f&(0)))),a&~b|c&d,26
~((~((a|b|~c|(d&e))|((a|b|~c|(d&~e))&f)))&(~((a|b|~c|(d&e))|((a|b|~c|(d&~e))&~f)))),a|b|~c|d,44
~((~(((~a&~b)|~c|~d)|((~a&~b)|~c|(~d&e))))&(~(((~a&~b)|~c|~d)|(((~a&~b)|~c|(~d&e))&f)))),~a&~b|~c|~d,51
((~((~((~a&~b&c&d)&((~a&~b&c&d)|e)))&(~(f&~f))))&(1))&((~((~((~a&~b&c&d)&((~a&~b&c&d)|e)))&(~(f&~f))))&(1)),~a&~b&c&d,54
~((~(((a&~b&c)|~d)&(e|~e)&f))&(~(((a&~b&c)|~d)&(e|~e)&~f))),a&~b&c|~d,32
~(((~(~a&~b&~c&d))&(~(~a&~b&~c&d&e)))&(~(f&(0)))),~a&~b&~c&d,25
~((~((a&~b&~c)|d|(e&(0))))|(~(f|~f))),a&~b&~c|d,18
~((~(((~a&b)|~c|~d)|((~a&b)|~c|(~d&e))))&(~(((~a&b)|~c|~d)|(((~a&b)|~c|(~d&e))&f)))),~a&b|~c|~d,47
~((~((~a|b|~c|~d)&(e|~e)&f))&(~((~a|b|~c|~d)&(e|~e)&~f))),~a|b|~c|~d,32
~((~((a&b&~c&d)&(e|~e)))&(~((a&b&~c&d)&(e|~e)&f))),a&b&~c&d,26
~((~(~a|(b&~c)|(d&(e|(1))&f)))&(~(~a|(b&~c)|(d&(e|(1))&~f)))),~a|b&~c|d,30
~((~(a|(~b&~c&d&e)))&(~((a|(~b&~c&d&~e))&(f|(1))))),a|~b&~c&d,26
~(((~(~a|(b&c&~d)|e))|(~(~a|(b&c&~d)|~e)))|(~(f|(1)))),~a|b&c&~d,27
~((~((~a|~b|(c&~d))|(~a|~b|(c&~d&e))))|(~((~a|~b|(c&~d))|(~a|~b|(c&~d&e))|f))),~a|~b|c&~d,44
~((~((~a&~b&c&~d)&(e|~e)))|(~(((~a&~b&c&~d)&(e|~e))|f))),~a&~b&c&~d,31
~((~((~a&b&c)|(d&(e|(1)))))|(~(f|~f))),~a&b&c|d,18
~(~a&(~(~b&c&d&(e|(1))&(f|(1))))),a|~b&c&d,15
~((~((~a|b|~c|d)|(~a|b|~c|(d&e))|f))|(~((~a|b|~c|d)|(~a|b|~c|(d&e))|~f))),~a|b|~c|d,40
~((~((~a|(b&~c)|d)|(~a|(b&~c)|(d&e))|f))|(~((~a|(b&~c)|d)|(~a|(b&~c)|(d&e))|~f))),~a|b&~c|d,44
(~(((~((~a&b&c)|d))|(~((~a&b&c)|d|e)))|(~(f|(1)))))|(~(((~((~a&b&c)|d))|(~((~a&b&c)|d|e)))|(~(f|(1))))),~a&b&c|d,48
~((~((a&b)|c|~d|((e&(0))&f)))&(~((a&b)|c|~d|((e&(0))&~f)))),a&b|c|~d,28
~((~((~a|b|(c&~d))&(e|~e)))|(~(f|~f))),~a|b|c&~d,20
~(((~((a&b)|(c&d)))|(~((a&b)|(c&d)|e)))|(~(f|(1)))),a&b|c&d,23
~((~((((~a&~b&c)|d)&((~a&~b&c)|d|e))|f))|(~((((~a&~b&c)|d)&((~a&~b&c)|d|e))|~f))),~a&~b&c|d,44
~((~((~a|(~b&~c&d))&(e|~e)))&(~((~a|(~b&~c&d))&(e|~e)&f))),~a|~b&~c&d,32
~(((~((a|b|c|d)&(a|b|c|d|e)))&(~(f&(0))))&((~((a|b|c|d)&(a|b|c|d|e)))&(~(f&(0))))),a|b|c|d,37
~((~(((a&~b)|~c|d)|((a&~b)|~c|(d&e))|f))|(~(((a&~b)|~c|d)|((a&~b)|~c|(d&e))|~f))),a&~b|~c|d,44
~((~(a|b|(c&~d)|(e&(0))))|(~(f|~f))),a|b|c&~d,17
~(((~(a|~b|~c|~d|e))|(~(a|~b|~c|~d|~e)))|(~(f|(1)))),a|~b|~c|~d,27
~((~((((a&~b&c&~d)|e)&((a&~b&c&~d)|~e))|f))|(~((((a&~b&c&~d)|e)&((a&~b&c&~d)|~e))|~f))),a&~b&c&~d,48
~((~((a&~b)|(c&~d&(e|(1)))))|(~((a&~b)|(c&~d&(e|(1)))|f))),a&~b|c&~d,28
~((~(((a&~b&c)|d)&((a&~b&c)|d|e)&f))&(~(((a&~b&c)|d)&((a&~b&c)|d|e)&~f))),a&~b&c|d,38
~((~((a|(b&c)|~d|e)&(a|(b&c)|~d|~e)))&(~((a|(b&c)|~d|e)&(a|(b&c)|~d|~e)&f))),a|b&c|~d,40
~(((~((a&~b)|(c&d)))|(~((a&~b)|(c&d)|e)))|(~(f|(1)))),a&~b|c&d,25
~(((~(~a|(~b&c&d)|e))|(~(~a|(~b&c&d)|~e)))|(~(f|(1)))),~a|~b&c&d,27
(~((~((a&b&c&d)|(a&b&c&d&e)))&(~(f&~f))))|((~(~((~((a&b&c&d)|(a&b&c&d&e)))&(~(f&~f)))))&(0)),a&b&c&d,43
~((~((((a&b)|(~c&d))&(e|~e))|f))|(~((((a&b)|(~c&d))&(e|~e))|~f))),a&b|~c&d,34
~((~(((a&~b&~c)|~d)|((a&~b&~c)|(~d&e))|f))|(~(((a&~b&~c)|~d)|((a&~b&~c)|(~d&e))|~f))),a&~b&~c|~d,48
~(((~(a|~b|(~c&~d)))&(~(e&~e)))&(~(f&(0)))),a|~b|~c&~d,21
~((~((a|(~b&~c)|~d)&(a|(~b&~c)|~d|e)))&(~(f&~f))),a|~b&~c|~d,27
~((~((a|(b&c&d))|(a|(b&c&d&e))))|(~((a|(b&c&d))|(a|(b&c&d&e))|f))),a|b&c&d,32
~((~((~a|b|c|d)|(e&~e)))&(~((~a|b|c|d)|((e&~e)&f)))),~a|b|c|d,27
~((~(((~a&b)|(~c&~d))|(((~a&b)|(~c&~d&e))&f)))&(~(((~a&b)|(~c&~d))|(((~a&b)|(~c&~d&e))&~f)))),~a&b|~c&~d,52
~((~(a|b|(c&~d&(e|(1)))))&(~(a|b|(c&~d&(e|(1))&f)))),a|b|c&~d,24
~((~(((a&b)|(c&~d))&(e|~e)))&(~(f&(0)))),a&b|c&~d,19
~((~((a&b&c&d)&(e|~e)))|(~(f|~f))),a&b&c&d,17
~((~((a&~b&~c&d)&((a&~b&~c&d)|e)&f))&(~((a&~b&~c&d)&((a&~b&~c&d)|e)&~f))),a&~b&~c&d,40
~(((~(~a|(b&~c&~d)))&(~(~a|(b&~c&~d&e))))&(~(f&(0)))),~a|b&~c&~d,27
~((~((~a&b&~c&~d)&((~a&b&~c&~d)|e)))|(~(f|~f))),~a&b&~c&~d,26
