output,answer,complexity
~((~(a&(a|b)))&(~(c&~c))),a,12
~((~(~a&b))&(~((~a&~b)&(c|(1))))),~a,16
~((~(a|(b&~b)))|(~(c|~c))),a,13
~((~(~a|(~a&b)))|(~(~a|(~a&b)|c))),~a,18
~((~((a|b)&(a|~b)))&(~(c&(0)))),a,14
(~((~(~a|(~a&b)))|(~(c|~c))))|(0),~a,16
~((~(~a|((b&(0))&c)))&(~(~a|((b&(0))&~c)))),~a,20
~((~((~a|b)&(~a|~b)&c))&(~((~a|b)&(~a|~b)&~c))),~a,26
~((~(a&(a|b)&c))&(~(a&(a|b)&~c))),a,16
~((~(~a|(b&~b)))|(~(c|~c))),~a,14
~((~(~a|(~a&b)|c))|(~(~a|(~a&b)|~c))),~a,20
~((~(((~a|b)&(~a|~b))|c))|(~(((~a|b)&(~a|~b))|~c))),~a,28
~((~(~a&(b|(1))&c))&(~(~a&(b|(1))&~c))),~a,18
~((~(a&(b|(1))&c))&(~(a&(b|(1))&~c))),a,16
~((~(a|(b&(0))|c))|(~(a|(b&(0))|~c))),a,16
~((~((a&b)|(a&~b)))|(~((a&b)|(a&~b)|c))),a,20
~((~(a|(b&~b)))&(~(c&~c))),a,13
~((~((a&b)|(a&~b)))|(~(c|~c))),a,15
~((~a|(~(a|b)))|(~(c|(1)))),a,12
~((~((a&b)|(a&~b)|c))|(~((a&b)|(a&~b)|~c))),a,22
~((~(a&(b|~b)&c))&(~(a&(b|~b)&~c))),a,18
~((~((a|b)&(a|~b)))|(~(((a|b)&(a|~b))|c))),a,21
~((~((a&(b|~b))|c))|(~((a&(b|~b))|~c))),a,20
~((~((a|b)&(a|~b)&c))&(~((a|b)&(a|~b)&~c))),a,22
~((~(a|(b&(0))))&((~(c&~c))&(~(c&~c)))),a,18
~((~(a|(b&(0))))|(~(c|~c))),a,12
~((~(~a|(~a&b)))&(~(c&~c))),~a,14
~((~(a&(a|b)))|(~((a&(a|b))|c))),a,15
~((~(a&(b|~b)))|(~((a&(b|~b))|c))),a,17
~(~a&(~((b&~b)&(c|(1))))),a,12
((~((~(~a&(b|~b)))&(~(c&(0)))))&(1))|(0),~a,17
(~(((~(~a))|(~(~a|b)))|(~(c|(1)))))&(~(((~(~a))|(~(~a|b)))|(~(c|(1))))),~a,30
~((~a&(~(b&~b)))&(~(c&(0)))),a,13
~((~((~a&b)|(~a&~b)))|(~(c|~c))),~a,17
~((~(~a|(~a&b)))&(~(~a|((~a&b)&c)))),~a,19
~((~(~a&(b|(1))))&(~(c&(0)))),~a,12
~((~((~a&b)|(~a&~b)|c))|(~((~a&b)|(~a&~b)|~c))),~a,26
~((~(~a&(b|(1))))|(~((~a&(b|(1)))|c))),~a,17
~((~(~a&(~a|b)))&(~(~a&(~a|b)&c))),~a,18
~(((~(~a))&(~(b&(0))))&(~(c&(0)))),~a,13
~((~(~a&(~a|b)&c))&(~(~a&(~a|b)&~c))),~a,20
~((~((~a&b)|(~a&~b)))|(~((~a&b)|(~a&~b)|c))),~a,24
~((~(~a|(b&(0))))|(~(c|~c))),~a,13
~(((~((a&b)|(a&~b)))&(~(c&~c)))|((~((a&b)|(a&~b)))&(~(c&~c)))),a,31
~((~(~a|(b&~b)|c))|(~(~a|(b&~b)|~c))),~a,20
~((~(a&(b|(1))))|(~((a&(b|(1)))|c))),a,15
~((~(~a&(b|~b)))&(~(c&~c))),~a,14
~((~((~a&b)|((~a&~b)&c)))&(~((~a&b)|((~a&~b)&~c)))),~a,28
(~(((~(~a))&(~((b&~b)&(c|(1)))))|(0)))|(0),~a,17
~((~(~a&(b|(1))))&(~(c&~c))),~a,13
~((~(a&(b|~b)))&(~(c&(0)))),a,12
~((~(~a&(b|~b)&c))&(~(~a&(b|~b)&~c))),~a,20
~((~((~a|b)&(~a|~b)))&(~((~a|b)&(~a|~b)&c))),~a,24
~((~(a|((b&(0))&c)))&(~(a|((b&(0))&~c)))),a,18
~((~((a|b)&(a|~b)))&(~(c&~c))),a,15
~((~(a&(a|b)))|(~(c|~c))),a,12
~((~(~a&(b|~b)))&(~(~a&(b|~b)&c))),~a,18
~((~(a|(b&~b)|c))|(~(a|(b&~b)|~c))),a,18
~((~((~a&b)|(~a&~b)))&(~(c&~c))),~a,17
~((~(~a|((~a&b)&c)))&(~(~a|((~a&b)&~c)))),~a,22
~((~((~a|b)&(~a|~b)))|(~(c|~c))),~a,17
~((~(~a&(~a|b)))|(~(c|~c))),~a,14
~((~(~a&(b|(1))))&(~(~a&(b|(1))&c))),~a,16
~(((~a&(~(a&b)))&(~(c&(0))))&((~a&(~(a&b)))&(~(c&(0))))),a,25
~((~(a&(b|~b)))|(~(c|~c))),a,13
~((~(~a|((b&~b)&c)))&(~(~a|((b&~b)&~c)))),~a,22
~((~((~a|b)&(~a|~b)))&(~(c&~c))),~a,17
~((~((~a&(b|~b))|c))|(~((~a&(b|~b))|~c))),~a,22
~((~(a|((a&b)&c)))&(~(a|((a&b)&~c)))),a,18
