output,answer,complexity
~((~(((a&~b)|(c&d))|(e&~e)))&(~((f&~f)&(g|(1))))),a&~b|c&d,24
~(((((~a&~b)&(~(~c)))&~d)&(~((e&(0))&(f|(1)))))&(~(g&(0)))),a|b|~c|d,26
~((~(((~a|(~b&~c)|~d|e)&(~a|(~b&~c)|~d|~e))&(f|~f)))&(~(((~a|(~b&~c)|~d|e)&(~a|(~b&~c)|~d|~e))&(f|~f)&g))),~a|~b&~c|~d,62
~((~((((~a&b)|c|~d)|(e&~e))&(((~a&b)|c|~d)|(e&~e)|f)))&(~(g&~g))),~a&b|c|~d,35
~((~(((~a&~b&c&d)&((~a&~b&c&d)|e))&(((~a&~b&c&d)&((~a&~b&c&d)|e))|f)))|(~(g|~g))),~a&~b&c&d,44
~((~(((~a|(~b&~c)|d)|((e&~e)&f))|((~a|(~b&~c)|d)|((e&~e)&~f))))|(~(((~a|(~b&~c)|d)|((e&~e)&f))|((~a|(~b&~c)|d)|((e&~e)&~f))|g))),~a|~b&~c|d,72
~((~((((~a&b)|(~c&~d)|e)&((~a&b)|(~c&~d)|~e))&(f|~f)&g))&(~((((~a&b)|(~c&~d)|e)&((~a&b)|(~c&~d)|~e))&(f|~f)&~g))),~a&b|~c&~d,64
~((~((a&b&~c&~d)&((a&b&~c&~d)|e)&(f|(1))&g))&(~((a&b&~c&~d)&((a&b&~c&~d)|e)&(f|(1))&~g))),a&b&~c&~d,46
~((~(((~a|b|~c|d|e)&(~a|b|~c|d|~e))|((f&(0))&g)))&(~(((~a|b|~c|d|e)&(~a|b|~c|d|~e))|((f&(0))&~g)))),~a|b|~c|d,52
~((~((~a|~b|(c&d&e))|(~a|~b|(c&d&~e))|((f&(0))&g)))&(~((~a|~b|(c&d&e))|(~a|~b|(c&d&~e))|((f&(0))&~g)))),~a|~b|c&d,54
~(((~(((~a&~b)|~c|d)&(e|~e)))&(~(((~a&~b)|~c|d)&(e|~e)&f)))&(~(g&(0)))),~a&~b|~c|d,37
~(((~((~a|(~b&~c)|d|e)&(~a|(~b&~c)|d|~e)))|(~(f|~f)))|(~(g|(1)))),~a|~b&~c|d,34
~((~((((a&b)|(c&~d))&((a&b)|(c&~d)|e))|((f&~f)&g)))&(~((((a&b)|(c&~d))&((a&b)|(c&~d)|e))|((f&~f)&~g)))),a&b|c&~d,54
~((~((((a&b)|~c|~d)|((a&b)|~c|(~d&e)))|(f&~f)))|(~(g|~g))),a&b|~c|~d,31
~((~((a|~b|(~c&d)|(e&(0)))&(a|~b|(~c&d)|(e&(0))|f)&g))&(~((a|~b|(~c&d)|(e&(0)))&(a|~b|(~c&d)|(e&(0))|f)&~g))),a|~b|~c&d,54
~(((~((~a|(b&~c&~d))&(e|~e)&f))&(~((~a|(b&~c&~d))&(e|~e)&~f)))&(~(g&(0)))),~a|b&~c&~d,39
~((~(((~a&~b)|c|(~d&(e|(1)))|f)&((~a&~b)|c|(~d&(e|(1)))|~f)&g))&(~(((~a&~b)|c|(~d&(e|(1)))|f)&((~a&~b)|c|(~d&(e|(1)))|~f)&~g))),~a&~b|c|~d,66
~((~(((a|(~b&~c&~d&e))|(a|(~b&~c&~d&~e))|f)&((a|(~b&~c&~d&e))|(a|(~b&~c&~d&~e))|~f)))&(~(g&~g))),a|~b&~c&~d,55
~((~(((~a|(b&c&d))|(e&~e))&(f|~f)))&(~(g&(0)))),~a|b&c&d,23
~((~((~a|(~b&c)|d|e)&(~a|(~b&c)|d|~e)&(f|(1))))|(~(g|~g))),~a|~b&c|d,30
~(((~((a|(~b&~c&d))&(e|~e)))|(~(f|~f)))|(~(g|(1)))),a|~b&~c&d,25
~((~((((~a&~b)|c|d)&(e|~e))|(((~a&~b)|c|d)&(e|~e)&f)|g))|(~((((~a&~b)|c|d)&(e|~e))|(((~a&~b)|c|d)&(e|~e)&f)|~g))),~a&~b|c|d,62
~(((~(a|b|(c&~d&(e|(1)))))|(~(f|~f)))|(~(g|(1)))),a|b|c&~d,22
~((~(((a|~b|c|~d)|(e&~e)|f)&((a|~b|c|~d)|(e&~e)|~f)))&(~(g&(0)))),a|~b|c|~d,34
~(((~(((~a&b)|(c&d))|((~a&b)|(c&d&e))))|(~(((~a&b)|(c&d))|((~a&b)|(c&d&e))|f)))|(~(g|(1)))),~a&b|c&d,45
~((~(((~a|b|~c|~d|e)&(~a|b|~c|~d|~e)&f)|((~a|b|~c|~d|e)&(~a|b|~c|~d|~e)&~f)))&(~(((~a|b|~c|~d|e)&(~a|b|~c|~d|~e)&f)|(((~a|b|~c|~d|e)&(~a|b|~c|~d|~e)&~f)&g)))),~a|b|~c|~d,93
~((~((~a|(~b&c)|d|((e&(0))&f))|(~a|(~b&c)|d|((e&(0))&~f))))|(~((~a|(~b&c)|d|((e&(0))&f))|(~a|(~b&c)|d|((e&(0))&~f))|g))),~a|~b&c|d,60
(~((~(~a|b|(c&d)|(e&(0))|(f&(0))))|(~(~a|b|(c&d)|(e&(0))|(f&(0))|g))))&(~((~(~a|b|(c&d)|(e&(0))|(f&(0))))|(~(~a|b|(c&d)|(e&(0))|(f&(0))|g)))),~a|b|c&d,62
~((~(((a|(~b&~c)|d)&(e|~e))&(f|~f)))|(~((((a|(~b&~c)|d)&(e|~e))&(f|~f))|g))),a|~b&~c|d,41
~((~(((~a|~b|(~c&~d)|e)&(~a|~b|(~c&~d)|~e))&(((~a|~b|(~c&~d)|e)&(~a|~b|(~c&~d)|~e))|f)))&(~(g&~g))),~a|~b|~c&~d,58
~((~(((~a|b|(c&d&e))|(~a|b|(c&d&~e)))|((~a|b|(c&d&e))|((~a|b|(c&d&~e))&f))|g))|(~(((~a|b|(c&d&e))|(~a|b|(c&d&~e)))|((~a|b|(c&d&e))|((~a|b|(c&d&~e))&f))|~g))),~a|b|c&d,84
~((~(((a&b&~c&~d)&(e|~e))&(f|~f)))&(~(((a&b&~c&~d)&(e|~e))&(f|~f)&g))),a&b&~c&~d,38
((~(((((~(~a&b))&(~(~c)))&(~(~d)))&(~((e&(0))&(f|(1)))))&(~(g&(0)))))|(0))&((~(((((~(~a&b))&(~(~c)))&(~(~d)))&(~((e&(0))&(f|(1)))))&(~(g&(0)))))|(0)),~a&b|~c|~d,60
~((~(((~a&~b&~c&d)|((~a&~b&~c&d&e)&f))|(((~a&~b&~c&d)|((~a&~b&~c&d&e)&~f))&g)))&(~(((~a&~b&~c&d)|((~a&~b&~c&d&e)&f))|(((~a&~b&~c&d)|((~a&~b&~c&d&e)&~f))&~g)))),~a&~b&~c&d,92
~((~(~a|(b&c)|~d|(e&(0))|(f&(0))))|(~(~a|(b&c)|~d|(e&(0))|(f&(0))|g))),~a|b&c|~d,32
~((~(((a&b)|~c|~d)&(e|~e)))&(~((((a&b)|~c|~d)&(e|~e)&f)&(g|(1))))),a&b|~c|~d,34
~((~(((a&~b)|(c&~d)|(e&(0)))&((a&~b)|(c&~d)|(e&(0))|f)))|(~((((a&~b)|(c&~d)|(e&(0)))&((a&~b)|(c&~d)|(e&(0))|f))|g))),a&~b|c&~d,57
~((~((((~a&~b)|(~c&d))|(e&~e))|(((~a&~b)|(~c&d))|((e&~e)&f))))&(~(g&~g))),~a&~b|~c&d,40
~((~(((((~a&b)|c|~d)&((~a&b)|c|~d|e))|f)&((((~a&b)|c|~d)&((~a&b)|c|~d|e))|~f)))|(~((((((~a&b)|c|~d)&((~a&b)|c|~d|e))|f)&((((~a&b)|c|~d)&((~a&b)|c|~d|e))|~f))|g))),~a&b|c|~d,89
~((~((((a&b&~c)|d)|(e&~e))&(((a&b&~c)|d)|(e&~e)|f)&g))&(~((((a&b&~c)|d)|(e&~e))&(((a&b&~c)|d)|(e&~e)|f)&~g))),a&b&~c|d,58
~((~(((~a|(~b&c)|d)&(e|~e))|(((~a|(~b&c)|d)&(e|~e)&f)&g)))&(~(((~a|(~b&c)|d)&(e|~e))|(((~a|(~b&c)|d)&(e|~e)&f)&~g)))),~a|~b&c|d,64
~((~((~a|b|(c&~d&(e|(1))))&(f|~f)))|(~(g|~g))),~a|b|c&~d,23
