output,answer,complexity
~((~((a&~b)|c|(~d&e)))&(~((a&~b)|c|(~d&~e)))),a&~b|c|~d,24
~((~((a&b)|(~c&d)))&(~(e&~e))),a&b|~c&d,15
(~((~(a|(b&c)|d))&(~(e&~e))))|(~((~(a|(b&c)|d))&(~(e&~e)))),a|b&c|d,28
~((~((~a&b)|(~c&d)))|(~((~a&b)|(~c&d)|e))),~a&b|~c&d,22
~((~(a|(b&c)|~d|e))|(~(a|(b&c)|~d|~e))),a|b&c|~d,20
~((~((a&b&~c)|d))|(~((a&b&~c)|d|e))),a&b&~c|d,18
~((~(~a|b|c|d))|(~(~a|b|c|d|e))),~a|b|c|d,16
~((~((a&~b)|~c|d))|(~(e|~e))),a&~b|~c|d,15
~((~((a&b)|c|d))|(~(e|~e))),a&b|c|d,13
(~((~a&(~(~b&c&d)))&(~(e&(0)))))&(~((~a&(~(~b&c&d)))&(~(e&(0))))),a|~b&c&d,30
~((~(~a|b|(c&~d)))|(~(~a|b|(c&~d)|e))),~a|b|c&~d,20
~((~(~a|(b&c&d)))|(~(~a|(b&c&d)|e))),~a|b&c&d,18
~(~a&(~(~b&~c&~d&(e|(1))))),a|~b&~c&~d,14
~((~(~a|(~b&c&~d)))|(~(~a|(~b&c&~d)|e))),~a|~b&c&~d,22
~((~((a&b&c)|d))|(~((a&b&c)|d|e))),a&b&c|d,16
(~((~(a|(~b&~c&d)))&(~(e&~e))))|(0),a|~b&~c&d,17
~((~(a|(~b&~c&d)))|(~(a|(~b&~c&d)|e))),a|~b&~c&d,20
(~((~(~a|b|c|~d))&(~(e&~e))))&(~((~(~a|b|c|~d))&(~(e&~e)))),~a|b|c|~d,30
~((~(~a&~b))&(~(~c&~d&(e|(1))))),~a&~b|~c&~d,16
~((~(~a&~b&~c&d))&(~(e&~e))),~a&~b&~c&d,15
~((~(~a|(~b&c&~d&e)))&(~(~a|(~b&c&~d&~e)))),~a|~b&c&~d,24
~((~(a|(b&~c)|(d&e)))&(~(a|(b&~c)|(d&~e)))),a|b&~c|d,22
~((~(~a|(~b&c)|~d))&(~(e&~e))),~a|~b&c|~d,16
~((~(a|b|c|~d))|(~(a|b|c|~d|e))),a|b|c|~d,16
~((~(~a|~b|c|d|e))|(~(~a|~b|c|d|~e))),~a|~b|c|d,20
~((~((a&~b)|(c&~d)))|(~(e|~e))),a&~b|c&~d,16
~((~a&(~(~b)))&(~(c&~d&(e|(1))))),a|~b|c&~d,15
~((~a&(~(~b&~c&~d)))&(~(e&(0)))),a|~b&~c&~d,16
~((~(a&~b))&(~(~c&~d&(e|(1))))),a&~b|~c&~d,15
~((~(~a|~b|(~c&~d)))|(~(e|~e))),~a|~b|~c&~d,17
~((~((~a&b)|~c|~d))&(~((~a&b)|~c|(~d&e)))),~a&b|~c|~d,23
~((~((a&b&c)|d|e))|(~((a&b&c)|d|~e))),a&b&c|d,18
~((~(~a|(b&~c)|(d&e)))&(~(~a|(b&~c)|(d&~e)))),~a|b&~c|d,24
~((~(~a))&(~(b&c&~d&(e|(1))))),~a|b&c&~d,13
~((~a&(~(~b&~c)))&(~(d&(e|(1))))),a|~b&~c|d,16
~(((~(a&~b))&(~(~c&~d)))&(~(e&(0)))),a&~b|~c&~d,17
~((~(~a|(~b&c)|~d|e))|(~(~a|(~b&c)|~d|~e))),~a|~b&c|~d,24
~((~((a&~b&c)|d|e))|(~((a&~b&c)|d|~e))),a&~b&c|d,20
~((((~(~a))&~b)&(~(c&d)))&(~(e&(0)))),~a|b|c&d,16
~(((~(~a&b&~c))&~d)&(~(e&(0)))),~a&b&~c|d,15
~(((~((~a&b)|(c&d)))&(~(e&~e)))|(0)),~a&b|c&d,17
~((~a&(~(b&~c)))&(~(~d&(e|(1))))),a|b&~c|~d,16
~((~(~a|~b|(c&d)|e))|(~(~a|~b|(c&d)|~e))),~a|~b|c&d,22
~((~((~a&b)|~c|(d&e)))&(~((~a&b)|~c|(d&~e)))),~a&b|~c|d,24
~((~(~a|(b&c)|(~d&e)))&(~(~a|(b&c)|(~d&~e)))),~a|b&c|~d,24
~((~((~a&b)|~c|d))|(~((~a&b)|~c|d|e))),~a&b|~c|d,20
~((~(~a|~b|c|d))|(~(~a|~b|c|d|e))),~a|~b|c|d,18
~((~((~a&b)|(c&~d&e)))&(~((~a&b)|(c&~d&~e)))),~a&b|c&~d,24
~(((~(a&~b))&~c)&(~(d&(e|(1))))),a&~b|c|d,15
~((~(a&~b&~c&d))|(~((a&~b&~c&d)|e))),a&~b&~c&d,19
~((~((~a&b)|(c&d)))&(~((~a&b)|(c&d&e)))),~a&b|c&d,20
~((~((a&b)|c|d))&(~((a&b)|c|(d&e)))),a&b|c|d,17
~((~(~a|(b&c&~d&e)))&(~(~a|(b&c&~d&~e)))),~a|b&c&~d,22
~((~(~a|(~b&~c&~d&e)))&(~(~a|(~b&~c&~d&~e)))),~a|~b&~c&~d,26
~(((~a&(~(~b)))&(~(~c)))&(~(~d&(e|(1))))),a|~b|~c|~d,18
~((~(~a&~b&~c&~d))&(~(e&(0)))),~a&~b&~c&~d,15
~((~(a|b|(~c&~d)))&(~(a|b|(~c&~d&e)))),a|b|~c&~d,20
~((~(~a|b|(~c&d)|e))|(~(~a|b|(~c&d)|~e))),~a|b|~c&d,22
~((~(~a|~b|c|d))&(~(e&~e))),~a|~b|c|d,14
~((~(a&~b))&(~(c&~d&(e|(1))))),a&~b|c&~d,14
~((~(a|(~b&~c&d&e)))&(~(a|(~b&~c&d&~e)))),a|~b&~c&d,22
~((((~(a&b))&(~(~c)))&(~(~d)))&(~(e&(0)))),a&b|~c|~d,17
~((~((~a&~b&c)|~d))|(~((~a&~b&c)|~d|e))),~a&~b&c|~d,22
~((~(a|(b&c&d)|e))|(~(a|(b&c&d)|~e))),a|b&c&d,18
~((((~(~a&b&c))&(~(d&(e|(1)))))&(1))&(1)),~a&b&c|d,17
~((~((~a&~b)|c|d))&((~(~((~a&~b)|c|d)))|(~(e&~e)))),~a&~b|c|d,26
~(((~((~a&~b&c)|~d))&(1))|(~(e|~e))),~a&~b&c|~d,18
~((~a&(~(b&c)))&(~(d&(e|(1))))),a|b&c|d,14
~((~a&(~(b&c)))&(~(~d&(e|(1))))),a|b&c|~d,15
~((~(~a|~b|~c|d|e))|(~(~a|~b|~c|d|~e))),~a|~b|~c|d,22
~((~(~a|(b&~c)|d))|(~(e|~e))),~a|b&~c|d,15
~(((~(~a|~b|(~c&d)))&(~(e&~e)))&((~(~a|~b|(~c&d)))&(~(e&~e)))),~a|~b|~c&d,33
~(((((~(~a))|~b)|~c)|~d)|(~(e|(1)))),~a&b&c&d,17
~((~((~a&b&~c)|~d))&(~((~a&b&~c)|(~d&e)))),~a&b&~c|~d,23
~((~(a|(b&c)|~d))|(~(e|~e))),a|b&c|~d,14
~((((~(~a))&(~(b&~c)))&(~(~d)))&(~(e&(0)))),~a|b&~c|~d,18
~((~(a&~b&c))&(~(d&(e|(1))))),a&~b&c|d,13
~(((~(a&b))&(~(~c)))&(~(d&(e|(1))))),a&b|~c|d,15
~((~(a&~b&c&d))|(~(e|~e))),a&~b&c&d,13
~((~(~a&~b&~c&~d))&(~(~a&~b&~c&~d&e))),~a&~b&~c&~d,22
~((~(~a|(~b&c&d)))&(~(e&~e))),~a|~b&c&d,15
~((~((~a&~b&~c)|d))|(~((~a&~b&~c)|d|e))),~a&~b&~c|d,22
~((~((~a&~b)|~c|d))|(~((~a&~b)|~c|d|e))),~a&~b|~c|d,22
~((~((a&b)|~c|d))|(~(e|~e))),a&b|~c|d,14
~((~(~a&b&~c&~d))|(~((~a&b&~c&~d)|e))),~a&b&~c&~d,21
(~(((~(~a|(b&c)|d))&(~(e&~e)))&(1)))&(~(((~(~a|(b&c)|d))&(~(e&~e)))&(1))),~a|b&c|d,34
~((~((~a&~b&c)|d))|(~((~a&~b&c)|d|e))),~a&~b&c|d,20
~((~((~a&b&c)|d))|(~((~a&b&c)|d|e))),~a&b&c|d,18
~((~(~a))&(~(b&~c&~d&(e|(1))))),~a|b&~c&~d,14
~((~(a|~b|(c&d)))|(~(a|~b|(c&d)|e))),a|~b|c&d,18
~((~(~a|b|(~c&d)))&(~(~a|b|(~c&d&e)))),~a|b|~c&d,20
~((~((a&b)|(~c&~d)))&(~(e&~e))),a&b|~c&~d,16
~((~(a|(~b&c)|(d&e)))&(~(a|(~b&c)|(d&~e)))),a|~b&c|d,22
~((~((a&b)|c|~d|e))|(~((a&b)|c|~d|~e))),a&b|c|~d,20
~(((~(~a))&(~(~b&~c)))&(~(~d&(e|(1))))),~a|~b&~c|~d,18
~((~(~a|~b|(c&~d)))&(~(e&~e))),~a|~b|c&~d,16
